"","AGE","WORKCLASS","FNLWGT","EDUCATION","EDUCATIONNUM","MARITALSTATUS","OCCUPATION","RELATIONSHIP","RACE","SEX","CAPITALGAIN","CAPITALLOSS","HOURSPERWEEK","NATIVECOUNTRY","ABOVE50K"
"14831",60," Self-emp-inc",376133," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",15024,0,15," United-States",1
"14524",44," Private",125461," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"7980",48," Private",47343," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"22631",50," Self-emp-not-inc",197054," Prof-school",15," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States",1
"13367",54," Private",167770," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,55," United-States",1
"10728",55," Private",208311," Masters",14," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1977,20," United-States",1
"18603",29," Private",51944," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",4386,0,40," United-States",1
"31283",29," Private",112847," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",7298,0,32," United-States",1
"21515",40," Private",124692," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"20344",45," Private",175925," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",1
"27770",27," Private",305647," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
"25148",43," Private",206139," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"26986",38," Private",103323," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7688,0,40," United-States",1
"2875",38," Federal-gov",115433," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",7688,0,33," United-States",1
"14920",24," Private",43387," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," England",1
"19487",47," Private",205730," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,56," United-States",1
"29760",46," Private",177633," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,50," United-States",1
"31672",40," Federal-gov",78036," Assoc-voc",11," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,65," United-States",1
"1217",48," Self-emp-not-inc",243631," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," Amer-Indian-Eskimo"," Male",7688,0,40," United-States",1
"18774",45," State-gov",103406," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,60," United-States",1
"23868",32," Self-emp-inc",345489," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
"8056",30," Private",205659," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,50," Thailand",1
"9813",44," Local-gov",83286," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
"23858",42," State-gov",367292," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",1
"29274",59," Self-emp-not-inc",81107," Some-college",10," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,80," United-States",1
"6717",58," Self-emp-inc",154537," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,20," United-States",1
"11640",39," Private",211440," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,55," United-States",1
"14571",61," Self-emp-not-inc",219183," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"29254",35," Private",186009," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
"12601",74," State-gov",88638," Doctorate",16," Never-married"," Prof-specialty"," Other-relative"," White"," Female",0,3683,20," United-States",1
"16786",44," Private",157217," Assoc-acdm",12," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"3916",51," Private",186338," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
"1003",38," State-gov",343642," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
"24941",53," Self-emp-not-inc",135339," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",7688,0,20," China",1
"10668",40," Private",226902," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,50," United-States",1
"12598",57," Private",180779," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7298,0,40," United-States",1
"1315",32," Private",509350," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," Canada",1
"11753",54," Private",326156," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
"18464",74," Private",188709," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,50," United-States",1
"22267",56," Private",83922," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
"32239",47," Private",294913," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",99999,0,40," United-States",1
"32403",42," Private",288154," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,89," United-States",1
"388",44," Private",162028," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,2415,6," United-States",1
"17332",39," Private",184801," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"26975",48," Private",128460," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,42," United-States",1
"26035",60," Private",325971," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",7688,0,40," United-States",1
"2513",47," Private",277545," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",0,0,40," ?",1
"7699",58," Federal-gov",81973," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," Asian-Pac-Islander"," Male",0,1485,40," United-States",1
"31112",22," Self-emp-not-inc",214014," Some-college",10," Never-married"," Sales"," Own-child"," Black"," Male",99999,0,55," United-States",1
"1214",54," Private",99185," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,45," United-States",1
"29526",37," Federal-gov",188069," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," Philippines",1
"23550",54," State-gov",166774," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,45," United-States",1
"6417",74," Private",129879," HS-grad",9," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",15831,0,40," United-States",1
"27038",37," Private",169426," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States",1
"12810",44," Private",279183," Some-college",10," Married-civ-spouse"," Other-service"," Own-child"," White"," Female",0,0,40," United-States",1
"12681",43," Private",137126," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"15260",60," Private",114263," Bachelors",13," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," Hungary",1
"18880",49," Private",291783," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
"11410",36," Federal-gov",403489," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",1
"957",44," Self-emp-inc",398473," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,70," United-States",1
"31873",39," Private",174242," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States",1
"30816",54," Self-emp-not-inc",28186," Bachelors",13," Divorced"," Farming-fishing"," Not-in-family"," White"," Male",27828,0,50," United-States",1
"17772",54," Private",93605," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1848,40," United-States",1
"3176",36," Private",208358," Prof-school",15," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",99999,0,45," United-States",1
"7658",57," Self-emp-inc",61885," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,60," United-States",1
"27656",41," Private",106679," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",27828,0,50," United-States",1
"23880",38," State-gov",188303," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",7688,0,40," United-States",1
"15986",39," Private",207568," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,48," United-States",1
"18681",30," Private",235271," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"563",47," Private",264052," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"15230",53," Federal-gov",170354," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
"1338",40," Private",240124," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"14923",42," Private",99679," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States",1
"20347",34," Private",300681," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,40," Jamaica",1
"21707",57," Private",178353," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",1
"2708",52," Self-emp-not-inc",64045," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,45," United-States",1
"4572",34," Private",299635," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,50," United-States",1
"29139",31," Self-emp-not-inc",81030," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"3830",40," Private",71738," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,46," United-States",1
"32068",37," Self-emp-not-inc",126675," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,60," United-States",1
"30505",36," Private",180686," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States",1
"1369",52," Private",152234," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",99999,0,40," Japan",1
"668",42," Private",247019," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States",1
"6333",66," Private",127139," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"16226",57," Private",136107," 9th",5," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States",1
"29697",32," Private",29933," Bachelors",13," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," United-States",1
"4402",48," Local-gov",31264," Some-college",10," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",5178,0,40," United-States",1
"5371",90," Local-gov",227796," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",20051,0,60," United-States",1
"19544",37," Self-emp-inc",183800," Assoc-acdm",12," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1887,40," United-States",1
"26162",49," State-gov",324791," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"27011",42," Self-emp-inc",188615," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States",1
"25316",64," Self-emp-not-inc",219661," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,9," United-States",1
"653",35," Private",292472," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Taiwan",1
"22504",59," Local-gov",93211," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,22," United-States",1
"26122",39," Private",38312," Some-college",10," Married-spouse-absent"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States",1
"18266",40," Private",198316," 10th",6," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"15426",31," Self-emp-inc",114937," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
"5074",48," Private",192894," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"2753",53," Self-emp-not-inc",174102," 7th-8th",4," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",4386,0,50," Greece",1
"5141",38," Private",33001," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
"894",37," Private",183800," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,50," United-States",1
"22830",61," Federal-gov",151369," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"24379",44," Self-emp-not-inc",361280," Some-college",10," Married-civ-spouse"," Sales"," Husband"," Asian-Pac-Islander"," Male",0,0,80," Philippines",1
"27436",57," Federal-gov",414994," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"14023",57," Self-emp-not-inc",291529," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",4386,0,13," United-States",1
"13353",49," Private",188694," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States",1
"18826",33," Private",123291," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,84," United-States",1
"26366",47," Private",34248," Assoc-voc",11," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"25425",52," ?",318351," Some-college",10," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,40," United-States",1
"10530",39," Private",167728," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"30633",60," Private",162347," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,40," United-States",1
"21006",51," Private",279156," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7298,0,40," United-States",1
"14727",31," Private",72630," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",14084,0,50," United-States",1
"19465",48," Private",148995," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,55," United-States",1
"9199",47," Private",189680," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1977,40," United-States",1
"23053",68," Private",170376," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"29471",35," Private",281982," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"21615",62," Private",94318," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"5840",48," Private",96359," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," Greece",1
"11171",44," Private",300528," 11th",7," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
"3837",52," Self-emp-inc",90363," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,35," United-States",1
"3337",33," Private",262439," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,35," United-States",1
"9560",42," Private",46221," Doctorate",16," Married-spouse-absent"," Other-service"," Not-in-family"," White"," Male",27828,0,60," ?",1
"26795",58," Private",201112," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,55," United-States",1
"31565",45," Private",151267," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,40," United-States",1
"14001",54," Self-emp-inc",96460," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,60," United-States",1
"6416",49," Federal-gov",311671," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"30760",45," Private",99355," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," Black"," Male",0,0,40," United-States",1
"21191",42," Local-gov",213019," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States",1
"9559",47," Self-emp-not-inc",119199," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,35," United-States",1
"3675",30," Private",55291," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"19215",41," Private",120277," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"3717",44," Private",286750," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,50," United-States",1
"25181",31," Private",139822," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",1
"11843",35," Private",49020," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",1
"30478",44," Private",215304," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",1
"29061",37," Private",187589," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",5178,0,40," United-States",1
"26223",47," Private",262244," Bachelors",13," Never-married"," Sales"," Not-in-family"," Black"," Male",0,0,60," United-States",1
"10270",40," Self-emp-not-inc",284706," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," Amer-Indian-Eskimo"," Male",0,1977,60," United-States",1
"27977",31," Private",319146," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",4386,0,40," Mexico",1
"25580",43," Private",334991," Some-college",10," Separated"," Transport-moving"," Unmarried"," White"," Male",4934,0,51," United-States",1
"19558",43," Federal-gov",105936," Assoc-voc",11," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",13550,0,40," United-States",1
"2218",45," Private",142287," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
"13427",26," Private",186950," Assoc-voc",11," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",1
"11045",47," State-gov",118447," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
"24016",58," ?",353244," Bachelors",13," Widowed"," ?"," Unmarried"," White"," Female",27828,0,50," United-States",1
"6942",46," Federal-gov",39606," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," England",1
