"","AGE","WORKCLASS","FNLWGT","EDUCATION","EDUCATIONNUM","MARITALSTATUS","OCCUPATION","RELATIONSHIP","RACE","SEX","CAPITALGAIN","CAPITALLOSS","HOURSPERWEEK","NATIVECOUNTRY","ABOVE50K"
"514",34," Private",337587," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"520",34," Private",108116," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"524",37," Local-gov",186035," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,45," United-States",1
"525",44," Private",177905," Some-college",10," Divorced"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,58," United-States",1
"576",29," Private",350162," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Male",0,0,40," United-States",1
"582",57," Private",69884," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"589",52," Private",25826," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1887,47," United-States",1
"593",60," Private",39352," 7th-8th",4," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,48," United-States",1
"627",34," Private",153614," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States",1
"634",30," Private",103649," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Wife"," Black"," Female",0,0,40," United-States",1
"638",33," Private",175697," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States",1
"640",52," Self-emp-not-inc",289436," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
"644",36," Private",188563," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",5178,0,50," United-States",1
"646",50," Self-emp-inc",195322," Doctorate",16," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States",1
"660",43," Private",174524," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States",1
"682",37," Private",161141," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Portugal",1
"697",35," Private",203628," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,60," United-States",1
"698",31," Private",118710," Masters",14," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1902,40," United-States",1
"725",42," Private",162140," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7298,0,45," United-States",1
"743",42," Private",151408," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",14084,0,50," United-States",1
"759",46," Federal-gov",167381," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",1
"762",59," Local-gov",420537," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,38," United-States",1
"764",53," Self-emp-inc",128272," Doctorate",16," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,70," United-States",1
"779",43," Private",226902," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States",1
"783",40," Private",130760," Assoc-voc",11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
"791",48," Private",102102," Assoc-voc",11," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,50," United-States",1
"795",60," Private",31577," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States",1
"800",43," Private",274363," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,40," England",1
"818",56," Private",186556," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",1
"848",37," Private",86551," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States",1
"858",59," Private",142182," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States",1
"860",49," Private",38563," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,56," United-States",1
"882",32," Private",270335," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Other-relative"," White"," Male",0,0,40," Philippines",1
"899",30," Private",87418," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States",1
"935",37," Private",186934," 11th",7," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",3103,0,44," United-States",1
"936",37," Private",176900," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,99," United-States",1
"940",31," Private",111567," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States",1
"943",38," Self-emp-inc",196373," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"948",36," Self-emp-inc",108293," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,1977,45," United-States",1
"967",35," Self-emp-inc",368825," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States",1
"969",48," Private",164966," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,40," India",1
"971",34," Private",202046," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,35," United-States",1
"973",67," Private",105252," Bachelors",13," Widowed"," Exec-managerial"," Not-in-family"," White"," Male",0,2392,40," United-States",1
"978",40," State-gov",188693," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,35," United-States",1
"985",45," Local-gov",318280," HS-grad",9," Widowed"," Protective-serv"," Not-in-family"," White"," Male",0,0,40," United-States",1
"1000",39," Self-emp-inc",329980," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,50," United-States",1
"1002",50," Private",168212," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1902,65," United-States",1
"1009",54," Self-emp-not-inc",123011," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",15024,0,52," United-States",1
"1013",50," Private",767403," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",3103,0,40," United-States",1
"1028",45," Private",368561," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
"1044",44," Private",167005," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,60," United-States",1
"1050",36," Private",156667," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1902,50," United-States",1
"1052",53," Self-emp-not-inc",263925," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," Canada",1
"1054",52," Self-emp-not-inc",44728," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,55," United-States",1
"1065",49," Private",175958," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,80," United-States",1
"1073",37," Private",215310," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",1
"1080",43," State-gov",227910," Assoc-voc",11," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
"1092",44," Self-emp-not-inc",120539," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States",1
"1109",41," Private",118212," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3103,0,40," United-States",1
"1111",35," Self-emp-inc",289430," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," Mexico",1
"1119",58," Local-gov",205267," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
"1158",28," State-gov",445824," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,50," United-States",1
"1173",25," Private",404616," Masters",14," Married-civ-spouse"," Farming-fishing"," Not-in-family"," White"," Male",0,0,99," United-States",1
"1201",45," Federal-gov",320818," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",0,0,80," United-States",1
"1202",30," Local-gov",235271," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
"1206",61," Self-emp-inc",113544," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"1216",63," ?",150389," Bachelors",13," Widowed"," ?"," Not-in-family"," White"," Female",0,0,40," United-States",1
"1220",38," Private",200818," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"1221",45," Self-emp-not-inc",247379," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
"1244",65," Self-emp-not-inc",167414," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,59," United-States",1
"1251",51," Self-emp-inc",229465," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,50," United-States",1
"1259",43," Federal-gov",369468," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"1262",53," Private",89534," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,48," United-States",1
"1276",51," Local-gov",152754," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
"1278",67," Private",171584," Bachelors",13," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",6514,0,7," United-States",1
"1287",47," Self-emp-not-inc",370119," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",15024,0,50," United-States",1
"1319",41," State-gov",144928," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"1323",27," Private",190525," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States",1
"1324",55," Private",121912," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,24," United-States",1
"1356",61," Self-emp-not-inc",30073," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,1848,60," United-States",1
"1379",65," Private",198766," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",20051,0,40," United-States",1
"1388",40," Self-emp-not-inc",266324," Some-college",10," Divorced"," Exec-managerial"," Other-relative"," White"," Male",0,1564,70," Iran",1
"1400",50," Private",137815," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States",1
"1406",24," Private",241523," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,45," United-States",1
"1408",39," Local-gov",352628," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",0,0,50," United-States",1
"1438",36," Federal-gov",218542," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",1
"1440",47," Private",67716," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"1449",51," Private",185283," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States",1
"1454",49," Self-emp-inc",125892," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
"1464",39," Private",51100," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States",1
"1490",37," Private",175232," Masters",14," Divorced"," Exec-managerial"," Unmarried"," White"," Male",0,0,60," United-States",1
"1493",45," Private",103538," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
"1494",53," State-gov",156877," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",15024,0,35," United-States",1
"1497",32," Private",80058," 11th",7," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,43," United-States",1
"1499",36," Self-emp-not-inc",105021," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
"1529",52," Private",118025," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",99999,0,50," United-States",1
"1532",40," Private",85995," 10th",6," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States",1
"1594",55," Private",98361," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,50," ?",1
"1616",60," Private",53707," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"1628",52," Private",147876," Bachelors",13," Married-civ-spouse"," Sales"," Wife"," White"," Female",15024,0,60," United-States",1
"1639",34," Self-emp-inc",175761," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
"1655",41," Private",421871," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States",1
"1656",44," Private",120277," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,50," Italy",1
"1662",44," Private",110355," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"1667",50," Self-emp-inc",160151," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States",1
"1675",47," Private",170846," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," Italy",1
"1677",64," ?",168340," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," ?",1
"1686",37," Private",188540," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,45," United-States",1
"1690",44," Private",145160," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
"1707",56," Private",187487," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,48," United-States",1
"1723",38," Private",86551," Bachelors",13," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,48," United-States",1
"1739",45," Private",182655," Bachelors",13," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,45," ?",1
"1755",53," Self-emp-not-inc",196328," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,45," United-States",1
"1761",42," Private",251795," Some-college",10," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,50," United-States",1
"1766",49," Private",159816," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",99999,0,20," United-States",1
"1770",26," Private",167350," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",3103,0,40," United-States",1
"1786",42," Local-gov",339671," Bachelors",13," Married-spouse-absent"," Prof-specialty"," Not-in-family"," White"," Female",8614,0,45," United-States",1
"1788",39," Private",79331," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",15024,0,40," United-States",1
"1826",51," Private",221532," Bachelors",13," Divorced"," Exec-managerial"," Unmarried"," White"," Male",0,0,40," United-States",1
"1850",32," Self-emp-inc",244665," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",5178,0,45," United-States",1
"1883",44," Self-emp-not-inc",246862," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," Italy",1
"1906",44," Private",161819," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States",1
"1916",42," Local-gov",121718," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,60," United-States",1
"1973",26," Private",122999," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",8614,0,40," United-States",1
"1984",36," Private",24106," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3103,0,40," United-States",1
"2004",72," Private",74141," 9th",5," Married-civ-spouse"," Exec-managerial"," Wife"," Asian-Pac-Islander"," Female",0,0,48," United-States",1
"2027",47," Private",194772," Assoc-voc",11," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States",1
"2064",42," Local-gov",111252," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,40," United-States",1
"2067",46," Private",29696," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"2074",51," Local-gov",133050," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," United-States",1
"2075",36," Local-gov",126569," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",1
"2087",51," Self-emp-inc",208302," Assoc-acdm",12," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,38," United-States",1
"2091",42," Private",33521," Assoc-acdm",12," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," United-States",1
"2094",51," Private",175339," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,47," United-States",1
"2096",49," Private",168211," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1485,40," United-States",1
"2110",66," Private",146454," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",5556,0,40," United-States",1
"2111",30," Private",203277," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,60," United-States",1
"2159",57," Self-emp-inc",119253," Masters",14," Married-civ-spouse"," Sales"," Husband"," White"," Male",15024,0,65," United-States",1
"2160",47," Self-emp-not-inc",121124," 5th-6th",3," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,55," Italy",1
"2181",36," Private",393673," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,50," United-States",1
"2183",41," Self-emp-not-inc",438696," Masters",14," Divorced"," Sales"," Unmarried"," White"," Male",0,0,5," United-States",1
"2199",50," Private",137253," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",1
"2206",47," Private",211668," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Wife"," Black"," Female",0,0,40," United-States",1
"2207",45," Private",358886," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States",1
"2231",59," Self-emp-not-inc",174056," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",15024,0,40," United-States",1
"2238",37," State-gov",160402," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,55," United-States",1
"2243",51," Private",204322," Assoc-voc",11," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States",1
"2253",44," Private",175935," Doctorate",16," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,55," United-States",1
"2283",31," Private",219509," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," Mexico",1
"2287",41," Private",116379," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,55," Taiwan",1
"2335",51," Private",191659," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1887,65," United-States",1
"2340",36," Private",116358," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Taiwan",1
"2363",36," Private",183892," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7298,0,44," United-States",1
"2404",57," Private",346963," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"2407",48," Private",36503," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
"2431",60," Private",240521," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7298,0,40," United-States",1
"2463",64," Private",319371," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,40," United-States",1
"2474",39," Self-emp-inc",329980," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,2415,60," United-States",1
"2506",57," Self-emp-not-inc",73309," HS-grad",9," Widowed"," Craft-repair"," Not-in-family"," White"," Male",0,0,55," United-States",1
"2510",31," Private",133770," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,50," United-States",1
"2518",51," Private",106728," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",5178,0,60," United-States",1
"2539",47," Private",165937," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,50," United-States",1
"2561",39," Private",172425," Assoc-voc",11," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,20," United-States",1
"2570",56," Self-emp-inc",105582," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,50," United-States",1
"2579",67," ?",45537," Masters",14," Married-civ-spouse"," ?"," Husband"," Black"," Male",0,0,40," United-States",1
"2594",39," Private",315776," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," Black"," Male",8614,0,52," United-States",1
"2600",60," Private",76127," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,35," United-States",1
"2608",45," Private",192835," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,55," United-States",1
"2619",31," Private",124827," Assoc-voc",11," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
"2625",42," Private",235786," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",1
"2638",33," Private",118941," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States",1
"2644",47," Private",213140," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7688,0,40," United-States",1
"2688",55," State-gov",146326," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,45," United-States",1
"2741",38," Private",236391," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,40," United-States",1
"2754",43," Private",125461," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,65," United-States",1
