"AGE","WORKCLASS","FNLWGT","EDUCATION","EDUCATIONNUM","MARITALSTATUS","OCCUPATION","RELATIONSHIP","RACE","SEX","CAPITALGAIN","CAPITALLOSS","HOURSPERWEEK","NATIVECOUNTRY","ABOVE50K"
51," Private",186338," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
38," State-gov",343642," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States",1
53," Self-emp-not-inc",135339," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",7688,0,20," China",1
40," Private",226902," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,50," United-States",1
57," Private",180779," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7298,0,40," United-States",1
32," Private",509350," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," Canada",1
54," Private",326156," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
74," Private",188709," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,50," United-States",1
56," Private",83922," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
47," Private",294913," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",99999,0,40," United-States",1
42," Private",288154," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,89," United-States",1
44," Private",162028," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,2415,6," United-States",1
39," Private",184801," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
48," Private",128460," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,42," United-States",1
60," Private",325971," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",7688,0,40," United-States",1
47," Private",277545," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",0,0,40," ?",1
58," Federal-gov",81973," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," Asian-Pac-Islander"," Male",0,1485,40," United-States",1
22," Self-emp-not-inc",214014," Some-college",10," Never-married"," Sales"," Own-child"," Black"," Male",99999,0,55," United-States",1
54," Private",99185," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,45," United-States",1
37," Federal-gov",188069," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," Philippines",1
54," State-gov",166774," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,45," United-States",1
74," Private",129879," HS-grad",9," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",15831,0,40," United-States",1
37," Private",169426," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States",1
44," Private",279183," Some-college",10," Married-civ-spouse"," Other-service"," Own-child"," White"," Female",0,0,40," United-States",1
43," Private",137126," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
60," Private",114263," Bachelors",13," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," Hungary",1
49," Private",291783," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States",1
36," Federal-gov",403489," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",1
44," Self-emp-inc",398473," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,70," United-States",1
39," Private",174242," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States",1
54," Self-emp-not-inc",28186," Bachelors",13," Divorced"," Farming-fishing"," Not-in-family"," White"," Male",27828,0,50," United-States",1
54," Private",93605," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1848,40," United-States",1
36," Private",208358," Prof-school",15," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",99999,0,45," United-States",1
57," Self-emp-inc",61885," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,60," United-States",1
41," Private",106679," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",27828,0,50," United-States",1
38," State-gov",188303," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",7688,0,40," United-States",1
39," Private",207568," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,48," United-States",1
30," Private",235271," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
47," Private",264052," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
53," Federal-gov",170354," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
40," Private",240124," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
42," Private",99679," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States",1
34," Private",300681," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,40," Jamaica",1
57," Private",178353," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",1
52," Self-emp-not-inc",64045," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,45," United-States",1
34," Private",299635," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,50," United-States",1
31," Self-emp-not-inc",81030," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
40," Private",71738," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,46," United-States",1
37," Self-emp-not-inc",126675," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,60," United-States",1
36," Private",180686," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States",1
52," Private",152234," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",99999,0,40," Japan",1
42," Private",247019," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States",1
66," Private",127139," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
57," Private",136107," 9th",5," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States",1
32," Private",29933," Bachelors",13," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," United-States",1
48," Local-gov",31264," Some-college",10," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",5178,0,40," United-States",1
90," Local-gov",227796," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",20051,0,60," United-States",1
37," Self-emp-inc",183800," Assoc-acdm",12," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1887,40," United-States",1
49," State-gov",324791," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
42," Self-emp-inc",188615," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States",1
64," Self-emp-not-inc",219661," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,9," United-States",1
35," Private",292472," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Taiwan",1
59," Local-gov",93211," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,22," United-States",1
39," Private",38312," Some-college",10," Married-spouse-absent"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States",1
40," Private",198316," 10th",6," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
31," Self-emp-inc",114937," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
48," Private",192894," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
53," Self-emp-not-inc",174102," 7th-8th",4," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",4386,0,50," Greece",1
38," Private",33001," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States",1
37," Private",183800," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,50," United-States",1
61," Federal-gov",151369," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
44," Self-emp-not-inc",361280," Some-college",10," Married-civ-spouse"," Sales"," Husband"," Asian-Pac-Islander"," Male",0,0,80," Philippines",1
57," Federal-gov",414994," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
57," Self-emp-not-inc",291529," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",4386,0,13," United-States",1
49," Private",188694," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States",1
33," Private",123291," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,84," United-States",1
47," Private",34248," Assoc-voc",11," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States",1
52," ?",318351," Some-college",10," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,40," United-States",1
39," Private",167728," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
60," Private",162347," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,40," United-States",1
51," Private",279156," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7298,0,40," United-States",1
31," Private",72630," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",14084,0,50," United-States",1
48," Private",148995," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,55," United-States",1
47," Private",189680," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1977,40," United-States",1
68," Private",170376," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
35," Private",281982," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
62," Private",94318," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",1
48," Private",96359," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," Greece",1
44," Private",300528," 11th",7," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States",1
52," Self-emp-inc",90363," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,35," United-States",1
33," Private",262439," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,35," United-States",1
42," Private",46221," Doctorate",16," Married-spouse-absent"," Other-service"," Not-in-family"," White"," Male",27828,0,60," ?",1
58," Private",201112," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,55," United-States",1
45," Private",151267," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,40," United-States",1
54," Self-emp-inc",96460," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,60," United-States",1
49," Federal-gov",311671," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
45," Private",99355," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," Black"," Male",0,0,40," United-States",1
42," Local-gov",213019," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States",1
47," Self-emp-not-inc",119199," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,35," United-States",1
30," Private",55291," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
41," Private",120277," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
44," Private",286750," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,50," United-States",1
31," Private",139822," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",1
35," Private",49020," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",1
44," Private",215304," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States",1
37," Private",187589," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",5178,0,40," United-States",1
47," Private",262244," Bachelors",13," Never-married"," Sales"," Not-in-family"," Black"," Male",0,0,60," United-States",1
40," Self-emp-not-inc",284706," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," Amer-Indian-Eskimo"," Male",0,1977,60," United-States",1
31," Private",319146," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",4386,0,40," Mexico",1
43," Private",334991," Some-college",10," Separated"," Transport-moving"," Unmarried"," White"," Male",4934,0,51," United-States",1
43," Federal-gov",105936," Assoc-voc",11," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",13550,0,40," United-States",1
45," Private",142287," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States",1
26," Private",186950," Assoc-voc",11," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",1
47," State-gov",118447," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
58," ?",353244," Bachelors",13," Widowed"," ?"," Unmarried"," White"," Female",27828,0,50," United-States",1
46," Federal-gov",39606," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," England",1
38," Private",179117," Assoc-acdm",12," Never-married"," Machine-op-inspct"," Not-in-family"," Black"," Female",10520,0,50," United-States",1
34," Private",98283," Prof-school",15," Never-married"," Tech-support"," Not-in-family"," Asian-Pac-Islander"," Male",0,1564,40," India",1
48," Private",159726," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,55," United-States",1
31," Local-gov",206297," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",1
40," Federal-gov",75313," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,66," United-States",1
38," Private",172571," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1848,54," United-States",1
33," Private",114691," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States",1
31," Self-emp-not-inc",108468," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
42," Private",325353," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",7688,0,42," United-States",1
47," Private",98012," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",7688,0,40," United-States",1
55," Private",156430," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",1
50," Federal-gov",172046," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States",1
30," Private",159187," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1902,55," United-States",1
53," Federal-gov",173093," Some-college",10," Married-civ-spouse"," Exec-managerial"," Wife"," Asian-Pac-Islander"," Female",0,1887,40," Philippines",1
